F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,label
8.0,0.0,0.0,8.0,0.0,20.0,0.0,8.0,20.0,0.0,8.0,4.0,8.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,1
28.0,0.0,0.0,0.0,4.0,4.0,0.0,12.0,4.0,16.0,0.0,0.0,8.0,0.0,4.0,4.0,4.0,12.0,0.0,0.0,1
8.0,0.0,0.0,0.0,8.0,12.0,4.0,8.0,8.0,8.0,4.0,4.0,0.0,0.0,12.0,4.0,12.0,4.0,4.0,0.0,1
4.0,0.0,4.0,0.0,4.0,20.0,4.0,12.0,4.0,28.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,1
8.0,0.0,0.0,4.0,12.0,12.0,0.0,0.0,4.0,20.0,0.0,0.0,4.0,0.0,16.0,0.0,16.0,0.0,0.0,4.0,1
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,1
11.54,0.0,3.85,3.85,7.69,3.85,3.85,3.85,7.69,0.0,0.0,0.0,19.23,0.0,23.08,0.0,0.0,7.69,0.0,3.85,1
11.54,0.0,0.0,3.85,0.0,19.23,0.0,0.0,3.85,15.38,15.38,0.0,3.85,3.85,15.38,3.85,0.0,3.85,0.0,0.0,1
7.69,0.0,3.85,0.0,0.0,15.38,0.0,0.0,23.08,3.85,0.0,7.69,19.23,0.0,7.69,3.85,3.85,3.85,0.0,0.0,1
3.85,0.0,3.85,0.0,0.0,7.69,0.0,19.23,11.54,11.54,3.85,3.85,0.0,0.0,11.54,3.85,0.0,15.38,0.0,3.85,1
0.0,0.0,7.69,7.69,7.69,0.0,0.0,11.54,26.92,7.69,0.0,7.69,3.85,3.85,7.69,0.0,0.0,0.0,3.85,3.85,1
3.85,0.0,0.0,0.0,11.54,7.69,0.0,0.0,7.69,34.62,0.0,0.0,0.0,0.0,11.54,3.85,0.0,19.23,0.0,0.0,1
11.54,0.0,0.0,0.0,0.0,3.85,0.0,15.38,19.23,3.85,0.0,3.85,0.0,0.0,0.0,3.85,0.0,38.46,0.0,0.0,1
3.85,0.0,0.0,0.0,0.0,0.0,0.0,53.85,11.54,11.54,0.0,3.85,0.0,0.0,7.69,0.0,0.0,7.69,0.0,0.0,1
11.54,0.0,3.85,0.0,0.0,0.0,3.85,0.0,7.69,23.08,0.0,0.0,0.0,11.54,11.54,7.69,0.0,19.23,0.0,0.0,1
38.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
29.63,0.0,0.0,0.0,0.0,3.7,3.7,0.0,14.81,7.41,7.41,7.41,0.0,7.41,7.41,3.7,0.0,7.41,0.0,0.0,1
18.52,0.0,0.0,0.0,0.0,3.7,3.7,11.11,0.0,14.81,7.41,7.41,3.7,3.7,7.41,0.0,3.7,11.11,0.0,3.7,1
